Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
entry-integer/16/control,3.96504078003884e-7,3.9632833836607007e-7,3.9665586015327884e-7,3.6149974156566867e-10,2.9667796153527303e-10,4.5658916639070663e-10
entry-integer/16/work,6.009218080319074e-7,5.986572377105825e-7,6.030199442604679e-7,4.894649280323335e-9,4.079076565484936e-9,6.2197205479039755e-9
rejected-alternatives/16/control,2.3044349715586708e-7,2.3032752175678757e-7,2.3057601136960283e-7,2.6206803486987155e-10,2.0876419073279637e-10,3.364931324050221e-10
rejected-alternatives/16/work,5.519197282867761e-7,5.517585839523851e-7,5.521182031694903e-7,3.9238929107145094e-10,2.868062040161588e-10,5.999009220536253e-10
list-fields/16/control,2.309448471706456e-7,2.3083872880929423e-7,2.3108631206234668e-7,2.6531628842996517e-10,1.9981665736367235e-10,3.559891624298958e-10
list-fields/16/work,3.1000395136211684e-7,3.0988312504055856e-7,3.101320483379875e-7,2.6816220862593674e-10,2.0820668646469527e-10,3.784243445109718e-10
data-list-fields/16/control,2.3215720857421062e-7,2.3037407039528477e-7,2.3607789849361486e-7,5.1662236783198814e-9,2.9192768352051114e-10,8.843254630916964e-9
data-list-fields/16/work,3.114929633134355e-7,3.113806342895884e-7,3.1163479822975015e-7,2.843645567954592e-10,2.155446643869872e-10,3.810891719029774e-10
data-constr-fields/16/control,2.3048729039919626e-7,2.3032434498741378e-7,2.306367508056032e-7,3.3121489174755884e-10,2.455268526944308e-10,4.3519970267401505e-10
data-constr-fields/16/work,3.1462914146754087e-7,3.1454515936470055e-7,3.1470529152853184e-7,1.6973623764493527e-10,1.1164277042201997e-10,2.652471335483371e-10
data-map-fields/16/control,2.3098804047867535e-7,2.3086727896082915e-7,2.3110747420992595e-7,2.6315750806277446e-10,1.9827352102112667e-10,3.659671197140927e-10
data-map-fields/16/work,3.089355375024118e-7,3.0880428913775075e-7,3.0909862411924855e-7,3.3010654357342077e-10,2.3115091454144523e-10,4.900053684867892e-10
root-capture-success/16/control,6.079861120961297e-7,6.070923652486698e-7,6.096367708968882e-7,2.7338611452984905e-9,1.66272343647026e-9,3.6148925945243333e-9
root-capture-success/16/work,7.950270650102256e-7,7.946161104779911e-7,7.953897901988245e-7,7.721999719867364e-10,5.92363067422767e-10,1.1214164438176783e-9
field-capture-success/16/control,3.1082771982454223e-7,3.1074079022725904e-7,3.110512124024885e-7,2.797689506199725e-10,1.1405253400134038e-10,5.248406021581885e-10
field-capture-success/16/work,5.344536479786192e-7,5.341482547092948e-7,5.349767838541721e-7,8.554043653875774e-10,5.313176292395408e-10,1.263497442892847e-9
field-capture-abandoned/16/control,3.3396687168273275e-7,3.337774831409764e-7,3.3413428799085133e-7,3.793684662615537e-10,2.6456595288927886e-10,5.81867878097099e-10
field-capture-abandoned/16/work,3.6193222288751056e-7,3.6176324221095174e-7,3.6208287387725907e-7,3.380984108659548e-10,2.7062749127487207e-10,4.3393242474018667e-10
rest-suffix/16/control,2.5921210298164475e-7,2.589106965001139e-7,2.600963075393039e-7,1.028222533333725e-9,3.1096899146337707e-10,1.9394696724739315e-9
rest-suffix/16/work,2.6174538798701093e-7,2.6163416511282454e-7,2.618612236743644e-7,2.5126480939625146e-10,1.9253645958689314e-10,3.7692480398351815e-10
pair-bounded/32/control,5.780217451914962e-7,5.730814355777238e-7,5.828879858989492e-7,1.047938259376287e-8,9.247157614527195e-9,1.1637128729175142e-8
pair-bounded/32/work,7.319517044482381e-7,7.303728747813586e-7,7.336544203235906e-7,3.4095657621286054e-9,2.9818776523294255e-9,3.924515896447964e-9
data-i-bounded/16/control,5.913312578455526e-7,5.896160435346177e-7,5.931894092451461e-7,3.785842779981209e-9,3.1608475015418427e-9,4.86249553675849e-9
data-i-bounded/16/work,6.71631841469062e-7,6.688010826577386e-7,6.744840962761438e-7,6.046240733608054e-9,4.763916425017472e-9,7.596307049370954e-9
data-b-bounded/16/control,6.002522026222776e-7,5.97794827453105e-7,6.028609657534675e-7,5.491536901913848e-9,4.8574547040249155e-9,6.051073793431236e-9
data-b-bounded/16/work,7.220649112793695e-7,7.217889071854766e-7,7.223620352302018e-7,6.442604658055338e-10,4.768488179500983e-10,8.354626363307497e-10
bytestring-8-byte-chunks/16/control,2.3226489394878448e-7,2.3119250242359913e-7,2.3682202193888898e-7,3.796996387527869e-9,1.7793663433490873e-9,6.774878997523397e-9
bytestring-8-byte-chunks/16/work,2.568546869230416e-7,2.565922839664738e-7,2.571092062161181e-7,5.518645761257809e-10,4.0235910145824484e-10,7.92177550845797e-10
entry-integer/64/control,1.0601848854832481e-6,1.0561946988580022e-6,1.0638193872475822e-6,8.342946970208998e-9,6.054995800939574e-9,1.0276112863708802e-8
entry-integer/64/work,1.759052732924225e-6,1.7550318858017593e-6,1.7652419462547407e-6,1.1145839842244233e-8,8.423955601760401e-9,1.5884211013594567e-8
rejected-alternatives/64/control,2.313640862788254e-7,2.311979259513504e-7,2.3166242258517332e-7,4.888710921309602e-10,3.2821276731583146e-10,7.387833358346154e-10
rejected-alternatives/64/work,1.3846232104569588e-6,1.381745308585735e-6,1.3953270489665977e-6,1.1276657079614126e-8,1.102661285054234e-9,2.183903301629293e-8
list-fields/64/control,2.3148566008585523e-7,2.313678346898787e-7,2.3159136130142733e-7,2.391171017072616e-10,1.8916461025214177e-10,3.1833076918654453e-10
list-fields/64/work,4.679049637271386e-7,4.6771370068746674e-7,4.680706907735382e-7,3.584779227970816e-10,2.7288091566785496e-10,4.70882736571451e-10
data-list-fields/64/control,2.314205930176175e-7,2.312004403156492e-7,2.3166311980654743e-7,5.16932863140818e-10,4.2935161928470823e-10,6.110440290844999e-10
data-list-fields/64/work,4.6646255413402746e-7,4.663410893679476e-7,4.665935732675333e-7,2.7459707716658435e-10,1.8662407647378338e-10,3.9014647098576715e-10
data-constr-fields/64/control,2.3066299577723104e-7,2.3044700963084637e-7,2.3085070955921463e-7,4.251610028593717e-10,3.076469751943097e-10,5.800171302862472e-10
data-constr-fields/64/work,4.686803708908932e-7,4.68497582820113e-7,4.6894832460533277e-7,4.665542237904722e-10,3.1805174802133806e-10,7.193938340316163e-10
data-map-fields/64/control,2.3077691170909212e-7,2.3063844481220038e-7,2.3094441018083342e-7,3.384032133041624e-10,2.678555321106232e-10,4.261297530844052e-10
data-map-fields/64/work,4.653341569304936e-7,4.651688708386357e-7,4.655317306279143e-7,4.0005488999111427e-10,3.0453719319505125e-10,5.573608524368828e-10
root-capture-success/64/control,1.6107139579275648e-6,1.5995546811225588e-6,1.6192137640137186e-6,2.072588005085519e-8,1.5341409449837297e-8,2.4109671441892575e-8
root-capture-success/64/work,2.4545721104700656e-6,2.452447736686834e-6,2.4588017161598156e-6,6.365918912823587e-9,2.5416488230916495e-9,1.1803463623970768e-8
field-capture-success/64/control,4.667541407170843e-7,4.664199538441764e-7,4.6705097698205385e-7,6.770932763013898e-10,5.235596626247891e-10,9.136888929351134e-10
field-capture-success/64/work,1.370520807183162e-6,1.3699271816864516e-6,1.3720364373280233e-6,1.9549973426590127e-9,8.222939230064369e-10,3.4975941042467293e-9
field-capture-abandoned/64/control,4.889534862429389e-7,4.8879519960643e-7,4.891397287625188e-7,3.740411740608976e-10,2.8205935196570054e-10,5.575309060585435e-10
field-capture-abandoned/64/work,5.921568612659211e-7,5.918799736016345e-7,5.92520984643715e-7,6.726881908027815e-10,5.58835749271326e-10,8.080526732932177e-10
rest-suffix/64/control,2.6309893340074443e-7,2.619522238353949e-7,2.6740639589312534e-7,4.449631478148966e-9,5.860708865330684e-10,8.611827641225275e-9
rest-suffix/64/work,2.610750325543957e-7,2.60892723750343e-7,2.612785203458832e-7,4.0788571331379254e-10,3.3188198384554315e-10,5.198734354887094e-10
pair-bounded/128/control,1.6306398972476865e-6,1.621913037551247e-6,1.6381084330713562e-6,1.7526091230584265e-8,1.3554176876512993e-8,2.2238846669421393e-8
pair-bounded/128/work,2.2435421050057238e-6,2.2349076617418714e-6,2.2524942454706808e-6,1.854563015291547e-8,1.3203835553959775e-8,2.760424986111643e-8
data-i-bounded/64/control,1.6332489335880844e-6,1.6240193087943841e-6,1.6390641419638154e-6,1.529383897656573e-8,1.013631138146936e-8,2.328341606974191e-8
data-i-bounded/64/work,1.9390796708098448e-6,1.930712824809189e-6,1.9523830344486943e-6,2.2500324052588756e-8,1.5543079044358984e-8,2.871475251334826e-8
data-b-bounded/64/control,1.6464892465994098e-6,1.6378708614005503e-6,1.651664462756107e-6,1.4022559676855043e-8,1.006170695635202e-8,1.7285520716367788e-8
data-b-bounded/64/work,2.0379944950400014e-6,2.0367466634283533e-6,2.03921810836669e-6,2.769253303903292e-9,2.2828056087832144e-9,3.4619307509094752e-9
bytestring-8-byte-chunks/64/control,2.323013336169849e-7,2.3190794573169234e-7,2.3260625701981005e-7,7.41375341296027e-10,5.846120038928892e-10,8.741990587128433e-10
bytestring-8-byte-chunks/64/work,2.609446575627257e-7,2.607186656767982e-7,2.611292207646144e-7,4.461127223337298e-10,3.0623875213169245e-10,6.640979694548328e-10
entry-integer/256/control,3.762129663102584e-6,3.7435684422191894e-6,3.7748053344027484e-6,3.321237491214831e-8,2.0369474547238494e-8,5.337373264050305e-8
entry-integer/256/work,6.657537882044038e-6,6.6282961793546226e-6,6.685809817268699e-6,6.26005586868659e-8,5.826440174499596e-8,6.837723498537303e-8
rejected-alternatives/256/control,2.3126969519363105e-7,2.3119585646983362e-7,2.3138711307351253e-7,2.0269063671800604e-10,1.171873578698953e-10,2.8908197254610084e-10
