Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
entry-integer/16/control,4.1560372380833794e-7,4.153495163964795e-7,4.159345186808491e-7,6.191045086514596e-10,3.876368325830662e-10,8.5189794744297e-10
entry-integer/16/work,6.132089211983375e-7,6.127015773792815e-7,6.138185724369447e-7,1.1790423059180689e-9,8.914375539596429e-10,1.6484496622622525e-9
rejected-alternatives/16/control,2.3137705232392832e-7,2.3126705507915588e-7,2.314827366128191e-7,2.428876450220498e-10,1.757800651676984e-10,3.4740880884854527e-10
rejected-alternatives/16/work,5.547420739209098e-7,5.544150062600866e-7,5.551119411637047e-7,7.312508556367761e-10,5.927867670419854e-10,8.648618685689637e-10
list-fields/16/control,2.3646468750924444e-7,2.3282227439855013e-7,2.425461461386193e-7,1.0445975826876104e-8,6.175223308026899e-9,1.346380503633096e-8
list-fields/16/work,3.124257226062803e-7,3.1230496510572344e-7,3.1253863528725644e-7,2.513273069695064e-10,1.771280481201957e-10,3.821925552044205e-10
data-list-fields/16/control,2.3089712531228158e-7,2.3081814200018606e-7,2.310031522597111e-7,1.968507642860737e-10,1.4637474291945888e-10,2.573939803772341e-10
data-list-fields/16/work,3.1257596571147966e-7,3.122472595261219e-7,3.128861377431854e-7,6.86967818816596e-10,5.728791040146298e-10,8.17644935860458e-10
data-constr-fields/16/control,2.3144011645886873e-7,2.3128097611629472e-7,2.3161297400931557e-7,3.608911193038674e-10,2.7562627849868516e-10,5.262305484814639e-10
data-constr-fields/16/work,3.1628702678359324e-7,3.1612389376043213e-7,3.165910766936517e-7,4.6247078158452373e-10,2.7890276874944097e-10,7.624969208186795e-10
data-map-fields/16/control,2.3152836670433157e-7,2.312239444682102e-7,2.3176806578118417e-7,5.758244439047465e-10,4.4066333950361765e-10,7.209205720012727e-10
data-map-fields/16/work,3.115301049402985e-7,3.113209586850967e-7,3.1179284384232504e-7,5.204090335141053e-10,3.9421190461124634e-10,6.507973823023612e-10
root-capture-success/16/control,5.89878392345349e-7,5.886710478654602e-7,5.914261581543751e-7,2.881347900331745e-9,2.5801836537937944e-9,3.300359418912345e-9
root-capture-success/16/work,7.720156614650257e-7,7.689920755600983e-7,7.755126277015837e-7,7.353326012134367e-9,5.77056348765263e-9,9.182710400153373e-9
field-capture-success/16/control,3.134526012252953e-7,3.1323681199005413e-7,3.13665568572505e-7,4.632158285092991e-10,3.851765320998669e-10,5.681577313146409e-10
field-capture-success/16/work,5.398767719823232e-7,5.394624486473681e-7,5.403502639091361e-7,1.0145108053828577e-9,8.282125571660512e-10,1.2346760571897123e-9
field-capture-abandoned/16/control,3.350583265610182e-7,3.3487460317901586e-7,3.352442450465379e-7,4.005127740909573e-10,3.1712054189424517e-10,5.326868096054372e-10
field-capture-abandoned/16/work,3.640572884422537e-7,3.63855992013816e-7,3.643947422493954e-7,5.562678824229853e-10,3.1411686230270034e-10,9.507833265169871e-10
rest-suffix/16/control,2.610630108795548e-7,2.607354052400056e-7,2.6130858560185297e-7,6.086893756772133e-10,4.733202660423362e-10,8.101693596701705e-10
rest-suffix/16/work,2.6103116525476765e-7,2.6090995498375223e-7,2.611441075676489e-7,2.556150917162707e-10,1.9564109635175418e-10,3.395637131489273e-10
