Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
entry-integer/1024/work,2.5464956230168654e-5,2.5209687700052065e-5,2.560398195990086e-5,3.8151345838817003e-7,1.6182326386455166e-7,5.668019219349368e-7
rejected-alternatives/1024/control,2.3096535540772965e-7,2.306872415201621e-7,2.312316746552511e-7,5.628243364379199e-10,4.438531146133193e-10,7.804270169099046e-10
rejected-alternatives/1024/work,1.773593531444355e-5,1.769373818469687e-5,1.775968999059525e-5,6.860527406401747e-8,2.6636200340892696e-8,9.790844157666708e-8
list-fields/1024/control,2.3067112342090333e-7,2.3051437816266536e-7,2.3081012417653957e-7,3.2540542002677e-10,2.5974985725982433e-10,4.138337577112585e-10
list-fields/1024/work,4.032185452607529e-6,4.0313584316766655e-6,4.0329347812400074e-6,1.8276257036009671e-9,1.4298375378154906e-9,2.3002866697104003e-9
data-list-fields/1024/control,2.2916917071420964e-7,2.289666250471673e-7,2.2945243131866492e-7,5.272408312518499e-10,3.5918526580244e-10,7.510054414823416e-10
data-list-fields/1024/work,4.026150542437901e-6,4.024691973839625e-6,4.028254151688615e-6,3.5465511034231483e-9,2.022425828374136e-9,5.246867831972026e-9
data-constr-fields/1024/control,2.3166843862174072e-7,2.3155923710843713e-7,2.317719292649628e-7,2.395316153592198e-10,1.8258882219612643e-10,3.2746317181249105e-10
data-constr-fields/1024/work,4.028924807195432e-6,4.0282309075302005e-6,4.029886047823975e-6,1.668090697882431e-9,1.2205866182602395e-9,2.1810947883297093e-9
data-map-fields/1024/control,2.2965376904402095e-7,2.2949308319957707e-7,2.2979364712235522e-7,3.2797837456370306e-10,2.348154749579963e-10,4.6350213408779334e-10
data-map-fields/1024/work,4.019044052478329e-6,4.0183879754033135e-6,4.020186822101399e-6,1.9116621557886466e-9,1.0712403242266715e-9,3.1034574390824488e-9
root-capture-success/1024/control,2.4480879072828103e-5,2.4383949033431357e-5,2.4611844888364714e-5,2.3560622792459512e-7,1.6825831769303583e-7,3.0003248002011387e-7
root-capture-success/1024/work,3.7278415647586876e-5,3.7075149294951056e-5,3.746754846680654e-5,4.2507629933509456e-7,3.5849073860177414e-7,4.903188482404427e-7
field-capture-success/1024/control,4.024899761920496e-6,4.024162187384375e-6,4.025875861580111e-6,1.8162059778309006e-9,1.1712703480192833e-9,2.968096632138367e-9
field-capture-success/1024/work,1.9529491100125066e-5,1.9499987309980795e-5,1.9567617492551e-5,7.528859081018111e-8,4.874672949637053e-8,9.434812424161634e-8
field-capture-abandoned/1024/control,4.056144226809564e-6,4.054639052913518e-6,4.058118907890818e-6,3.8371598592392745e-9,2.9718642614645006e-9,4.60197465288377e-9
